=== Snake RL Training Log ===
Started: 2026-05-30 14:41:10
Log file: logs/training_20260530_144110.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.99)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode    1] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9900 | Memory:    166
[Episode    2] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9801 | Memory:    262
[Episode    3] Score:   1 | Record:   1 | Mean:   0.33 | Epsilon: 0.9703 | Memory:    337
[Episode    4] Score:   0 | Record:   1 | Mean:   0.25 | Epsilon: 0.9606 | Memory:    436
[Episode    5] Score:   1 | Record:   1 | Mean:   0.40 | Epsilon: 0.9510 | Memory:    518
[Episode    6] Score:   0 | Record:   1 | Mean:   0.33 | Epsilon: 0.9415 | Memory:    571
[Episode    7] Score:   0 | Record:   1 | Mean:   0.29 | Epsilon: 0.9321 | Memory:    615
[Episode    8] Score:   0 | Record:   1 | Mean:   0.25 | Epsilon: 0.9227 | Memory:    652
[Episode    9] Score:   0 | Record:   1 | Mean:   0.22 | Epsilon: 0.9135 | Memory:    715
[Episode   10] Score:   0 | Record:   1 | Mean:   0.20 | Epsilon: 0.9044 | Memory:    746
[Episode   11] Score:   0 | Record:   1 | Mean:   0.18 | Epsilon: 0.8953 | Memory:    796
[Episode   12] Score:   0 | Record:   1 | Mean:   0.17 | Epsilon: 0.8864 | Memory:    833
[Episode   13] Score:   0 | Record:   1 | Mean:   0.15 | Epsilon: 0.8775 | Memory:    866
[Episode   14] Score:   0 | Record:   1 | Mean:   0.14 | Epsilon: 0.8687 | Memory:    896
[Episode   15] Score:   0 | Record:   1 | Mean:   0.13 | Epsilon: 0.8601 | Memory:    937
[Episode   16] Score:   0 | Record:   1 | Mean:   0.12 | Epsilon: 0.8515 | Memory:   1055
[Episode   17] Score:   0 | Record:   1 | Mean:   0.12 | Epsilon: 0.8429 | Memory:   1096
[Episode   18] Score:   0 | Record:   1 | Mean:   0.11 | Epsilon: 0.8345 | Memory:   1131
[Episode   19] Score:   1 | Record:   1 | Mean:   0.16 | Epsilon: 0.8262 | Memory:   1165
[Episode   20] Score:   0 | Record:   1 | Mean:   0.15 | Epsilon: 0.8179 | Memory:   1298
[Episode   21] Score:   0 | Record:   1 | Mean:   0.14 | Epsilon: 0.8097 | Memory:   1350
[Episode   22] Score:   0 | Record:   1 | Mean:   0.14 | Epsilon: 0.8016 | Memory:   1454
